Date,Open,High,Low,Close,Adj Close,Volume
2023-11-06,8975.0,9050.0,8950.0,9050.0,8760.451171875,84994200
2023-11-07,9000.0,9025.0,8900.0,8975.0,8687.8505859375,60648200
2023-11-08,8950.0,9000.0,8900.0,9000.0,8712.05078125,31829300
2023-11-09,8900.0,9050.0,8900.0,9000.0,8712.05078125,46076800
2023-11-10,8950.0,9000.0,8825.0,8825.0,8542.6494140625,50754600
2023-11-13,8875.0,8925.0,8850.0,8875.0,8591.0498046875,20827700
2023-11-14,8900.0,8950.0,8875.0,8925.0,8639.4501953125,37195700
2023-11-15,8975.0,9050.0,8950.0,9050.0,8760.451171875,84977900
2023-11-16,9050.0,9075.0,8950.0,9075.0,8784.6513671875,48714300
2023-11-17,9025.0,9075.0,8975.0,9075.0,8784.6513671875,57050500
2023-11-20,8975.0,9025.0,8875.0,8875.0,8591.0498046875,49216000
2023-11-21,8825.0,8900.0,8775.0,8775.0,8494.2490234375,107614800
2023-11-22,8775.0,8875.0,8775.0,8875.0,8591.0498046875,40364800
2023-11-23,8850.0,8975.0,8850.0,8925.0,8639.4501953125,55542100
2023-11-24,8925.0,8975.0,8900.0,8925.0,8639.4501953125,43631900
2023-11-27,8900.0,8950.0,8875.0,8875.0,8591.0498046875,35679000
2023-11-28,8875.0,8950.0,8850.0,8875.0,8591.0498046875,69070600
2023-11-29,8900.0,8950.0,8900.0,8900.0,8615.25,54715600
2023-11-30,8925.0,8975.0,8900.0,8975.0,8687.8505859375,205312100
2023-12-01,8925.0,8975.0,8900.0,8950.0,8663.650390625,80566400
2023-12-04,8950.0,9025.0,8925.0,8925.0,8680.6708984375,54747400
2023-12-05,8950.0,8950.0,8825.0,8900.0,8656.35546875,94363900
2023-12-06,8850.0,8950.0,8800.0,8800.0,8559.0927734375,81852800
2023-12-07,8750.0,8825.0,8725.0,8825.0,8583.408203125,91322500
2023-12-08,8800.0,8850.0,8750.0,8750.0,8510.4619140625,43891600
2023-12-11,8675.0,8775.0,8675.0,8750.0,8510.4619140625,78642800
2023-12-12,8700.0,8750.0,8700.0,8700.0,8461.830078125,87589300
2023-12-13,8700.0,8750.0,8675.0,8675.0,8437.5146484375,51560500
2023-12-14,8775.0,9050.0,8750.0,9050.0,8802.2490234375,115332800
2023-12-15,9125.0,9225.0,9075.0,9225.0,8972.4580078125,275013500
2023-12-18,9200.0,9225.0,9150.0,9200.0,8948.142578125,111712200
2023-12-19,9125.0,9250.0,9125.0,9250.0,8996.7734375,65174500
2023-12-20,9250.0,9300.0,9225.0,9300.0,9045.4052734375,72938100
2023-12-21,9300.0,9325.0,9250.0,9325.0,9069.720703125,88116700
2023-12-22,9275.0,9350.0,9275.0,9325.0,9069.720703125,64449600
2023-12-27,9375.0,9400.0,9325.0,9375.0,9118.3515625,64464700
2023-12-28,9325.0,9425.0,9325.0,9400.0,9142.66796875,70184600
2023-12-29,9425.0,9450.0,9350.0,9400.0,9142.66796875,79903400
